model,bleu,rouge_l_f1,meteor,lr,ls,cer,wer,edit_distance_chars,edit_distance_tokens,ref_length_chars,hyp_length_chars,ref_length_tokens,hyp_length_tokens
llama3,0.0022815473104960044,0.01360544217687075,0.013837638376383765,0.5784508440913605,0.21606648199445988,0.9119226638023631,1.9393939393939394,849.0,192.0,931.0,1083.0,99.0,193.0
llama3-1,0.021014821042471325,0.03846153846153846,0.04742857142857143,0.5847022587268994,0.2045231071779744,0.8689581095596133,1.5555555555555556,809.0,154.0,931.0,1017.0,99.0,159.0
chatgpt-o3,0.026484534958647783,0.06086956521739131,0.088844413505047,0.3384216589861751,0.09602518693427786,2.4672395273899035,1.2727272727272727,2297.0,126.0,931.0,2541.0,99.0,129.0
deepseek-r1-8b,0.009739618079038127,0.033898305084745756,0.04467754467754468,0.5246963562753036,0.2371669915529565,1.2610096670247046,2.505050505050505,1174.0,248.0,931.0,1539.0,99.0,253.0
gemini-2-5-pro,0.06432516512028848,0.10398613518197573,0.4702107595236925,0.02631393670574154,0.010092514718250678,59.41890440386681,4.545454545454546,55319.0,450.0,931.0,55883.0,99.0,476.0
llama3-3,0.01121062613395949,0.031152647975077885,0.04600460046004601,0.5436893203883495,0.22546816479400744,1.1106337271750806,2.1717171717171717,1034.0,215.0,931.0,1335.0,99.0,220.0
mistral,0.02448204774020744,0.04098360655737705,0.056952503761014406,0.5845110231769362,0.21052631578947367,0.7894736842105263,1.4343434343434343,735.0,142.0,931.0,838.0,99.0,143.0
deepseek-r1-1-5b,0.004947980380377385,0.019448946515397084,0.03408612912115806,0.36299538050085095,0.17661847894406035,2.8141783029001073,5.151515151515151,2620.0,510.0,931.0,3182.0,99.0,516.0
